codigo	descripcion	partida_nombre	sector_nombre	especialidad_nombre	fecha_inicio	duracion_dias
INF-013	MONTAJE DE ESTRUCTURA METALICA (13)	CERRAMIENTOS — Estructura	ACCESOS	Estructura	2026-05-18	7
INF-014	COLOCACION DE CUBIERTA (14)	PINTURA Y ACABADOS — Estructura	VESTUARIOS	Estructura	2026-05-20	1
INF-015	TENDIDO DE RED ELECTRICA (15)	AREA DE JUEGOS — Instalaciones (MEP)	ESTACIONAMIENTO	Instalaciones (MEP)	2026-05-22	2
INF-016	INSTALACION DE TABLERO GENERAL (16)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Instalaciones (MEP)	PERIMETRO	Instalaciones (MEP)	2026-05-24	3
INF-017	TENDIDO DE AGUA POTABLE (17)	OBRAS PROVISIONALES — Instalaciones (MEP)	ZONA GENERAL	Instalaciones (MEP)	2026-05-26	4
INF-018	INSTALACION DE DESAGUE (18)	SEGURIDAD Y SALUD DURANTE LA OBRA — Instalaciones (MEP)	CANCHA PRINCIPAL	Instalaciones (MEP)	2026-05-28	5
INF-019	CONTRAPISO DE CEMENTO PULIDO (19)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	ZONA NORTE	Estructura	2026-05-30	6
INF-020	PINTURA DE CERRAMIENTO (20)	EXPLANACION GENERAL	ZONA SUR	Estructura	2026-06-01	7
INF-021	INSTALACION DE PUERTAS (21)	MOVIMIENTO DE TIERRA	ACCESOS	Estructura	2026-06-03	1
INF-022	SEÑALETICA DE SEGURIDAD (22)	SERVICIOS HIGIENICOS — Estructura	VESTUARIOS	Estructura	2026-06-06	2
INF-023	PRUEBA DE PRESION DE RED (23)	ESTRUCTURAS METALICAS	ESTACIONAMIENTO	Estructura	2026-06-08	3
INF-024	ENTREGA DE AREA LIMPIA (24)	CUBIERTA Y TECHUMBRE	PERIMETRO	Estructura	2026-06-10	4
INF-025	CARTEL DE OBRA DE 3.60 X 2.40M. (25)	INSTALACIONES ELECTRICAS — Instalaciones (MEP)	ZONA GENERAL	Instalaciones (MEP)	2026-06-12	5
INF-026	ALQUILER DE LOCAL PARA ALMACEN Y OFICINA (26)	INSTALACIONES SANITARIAS — Instalaciones (MEP)	CANCHA PRINCIPAL	Instalaciones (MEP)	2026-06-14	6
INF-027	SERVICIOS DE BAÑO PORTATIL (INODORO Y LAVADERO) (27)	PISOS Y PAVIMENTOS — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-06-16	7
INF-028	ELABORACION E IMPLEMENTACION DEL PLAN DE SEGURIDAD (28)	CERRAMIENTOS — Estructura	ZONA SUR	Estructura	2026-06-18	1
INF-029	DEMOLICION DE MURO EXISTENTE (29)	PINTURA Y ACABADOS — Estructura	ACCESOS	Estructura	2026-06-20	2
INF-030	REPOSICION DE CERCO PERIMETRAL (30)	AREA DE JUEGOS — Estructura	VESTUARIOS	Estructura	2026-06-22	3
INF-031	LIMPIEZA DEL TERRENO MANUAL (31)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Estructura	ESTACIONAMIENTO	Estructura	2026-06-24	4
INF-032	RELLENO CON GRAVA CLASIFICADO (32)	OBRAS PROVISIONALES — Estructura	PERIMETRO	Estructura	2026-06-26	5
INF-033	COMPACTACION DE SUBRASANTE (33)	SEGURIDAD Y SALUD DURANTE LA OBRA — Estructura	ZONA GENERAL	Estructura	2026-06-29	6
INF-034	NIVELACION DE TERRENO (34)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	CANCHA PRINCIPAL	Estructura	2026-07-01	7
INF-035	EXCAVACION PARA CIMIENTOS (35)	EXPLANACION GENERAL	ZONA NORTE	Estructura	2026-07-03	1
INF-036	HORMIGON DE LIMPIEZA (36)	MOVIMIENTO DE TIERRA	ZONA SUR	Estructura	2026-07-05	2
INF-037	MONTAJE DE ESTRUCTURA METALICA (37)	SERVICIOS HIGIENICOS — Estructura	ACCESOS	Estructura	2026-04-24	3
INF-038	COLOCACION DE CUBIERTA (38)	ESTRUCTURAS METALICAS	VESTUARIOS	Estructura	2026-04-26	4
INF-039	TENDIDO DE RED ELECTRICA (39)	CUBIERTA Y TECHUMBRE	ESTACIONAMIENTO	Estructura	2026-04-28	5
INF-040	INSTALACION DE TABLERO GENERAL (40)	INSTALACIONES ELECTRICAS — Instalaciones (MEP)	PERIMETRO	Instalaciones (MEP)	2026-04-30	6
INF-041	TENDIDO DE AGUA POTABLE (41)	INSTALACIONES SANITARIAS — Instalaciones (MEP)	ZONA GENERAL	Instalaciones (MEP)	2026-05-02	7
INF-042	INSTALACION DE DESAGUE (42)	PISOS Y PAVIMENTOS — Instalaciones (MEP)	CANCHA PRINCIPAL	Instalaciones (MEP)	2026-05-04	1
INF-043	CONTRAPISO DE CEMENTO PULIDO (43)	CERRAMIENTOS — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-05-06	2
INF-044	PINTURA DE CERRAMIENTO (44)	PINTURA Y ACABADOS — Arquitectura y terminaciones	ZONA SUR	Arquitectura y terminaciones	2026-05-09	3
INF-045	INSTALACION DE PUERTAS (45)	AREA DE JUEGOS — Arquitectura y terminaciones	ACCESOS	Arquitectura y terminaciones	2026-05-11	4
INF-046	SEÑALETICA DE SEGURIDAD (46)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Estructura	VESTUARIOS	Estructura	2026-05-13	5
INF-047	PRUEBA DE PRESION DE RED (47)	OBRAS PROVISIONALES — Instalaciones (MEP)	ESTACIONAMIENTO	Instalaciones (MEP)	2026-05-15	6
INF-048	ENTREGA DE AREA LIMPIA (48)	SEGURIDAD Y SALUD DURANTE LA OBRA — Arquitectura y terminaciones	PERIMETRO	Arquitectura y terminaciones	2026-05-17	7
INF-049	CARTEL DE OBRA DE 3.60 X 2.40M. (49)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	ZONA GENERAL	Estructura	2026-05-19	1
INF-050	ALQUILER DE LOCAL PARA ALMACEN Y OFICINA (50)	EXPLANACION GENERAL	CANCHA PRINCIPAL	Estructura	2026-05-21	2
INF-051	SERVICIOS DE BAÑO PORTATIL (INODORO Y LAVADERO) (51)	MOVIMIENTO DE TIERRA	ZONA NORTE	Estructura	2026-05-23	3
INF-052	ELABORACION E IMPLEMENTACION DEL PLAN DE SEGURIDAD (52)	SERVICIOS HIGIENICOS — Estructura	ZONA SUR	Estructura	2026-05-25	4
INF-053	DEMOLICION DE MURO EXISTENTE (53)	ESTRUCTURAS METALICAS	ACCESOS	Estructura	2026-05-27	5
INF-054	REPOSICION DE CERCO PERIMETRAL (54)	CUBIERTA Y TECHUMBRE	VESTUARIOS	Estructura	2026-05-29	6
INF-055	LIMPIEZA DEL TERRENO MANUAL (55)	INSTALACIONES ELECTRICAS — Estructura	ESTACIONAMIENTO	Estructura	2026-06-01	7
INF-056	RELLENO CON GRAVA CLASIFICADO (56)	INSTALACIONES SANITARIAS — Estructura	PERIMETRO	Estructura	2026-06-03	1
INF-057	COMPACTACION DE SUBRASANTE (57)	PISOS Y PAVIMENTOS — Estructura	ZONA GENERAL	Estructura	2026-06-05	2
INF-058	NIVELACION DE TERRENO (58)	CERRAMIENTOS — Estructura	CANCHA PRINCIPAL	Estructura	2026-06-07	3
INF-059	EXCAVACION PARA CIMIENTOS (59)	PINTURA Y ACABADOS — Estructura	ZONA NORTE	Estructura	2026-06-09	4
INF-060	HORMIGON DE LIMPIEZA (60)	AREA DE JUEGOS — Estructura	ZONA SUR	Estructura	2026-06-11	5
INF-061	MONTAJE DE ESTRUCTURA METALICA (61)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Estructura	ACCESOS	Estructura	2026-06-13	6
INF-062	COLOCACION DE CUBIERTA (62)	OBRAS PROVISIONALES — Estructura	VESTUARIOS	Estructura	2026-06-15	7
INF-063	TENDIDO DE RED ELECTRICA (63)	SEGURIDAD Y SALUD DURANTE LA OBRA — Instalaciones (MEP)	ESTACIONAMIENTO	Instalaciones (MEP)	2026-06-17	1
INF-064	INSTALACION DE TABLERO GENERAL (64)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	PERIMETRO	Estructura	2026-06-19	2
INF-065	TENDIDO DE AGUA POTABLE (65)	EXPLANACION GENERAL	ZONA GENERAL	Estructura	2026-06-21	3
INF-066	INSTALACION DE DESAGUE (66)	MOVIMIENTO DE TIERRA	CANCHA PRINCIPAL	Estructura	2026-06-24	4
INF-067	CONTRAPISO DE CEMENTO PULIDO (67)	SERVICIOS HIGIENICOS — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-06-26	5
INF-068	PINTURA DE CERRAMIENTO (68)	ESTRUCTURAS METALICAS	ZONA SUR	Estructura	2026-06-28	6
INF-069	INSTALACION DE PUERTAS (69)	CUBIERTA Y TECHUMBRE	ACCESOS	Estructura	2026-06-30	7
INF-070	SEÑALETICA DE SEGURIDAD (70)	INSTALACIONES ELECTRICAS — Instalaciones (MEP)	VESTUARIOS	Instalaciones (MEP)	2026-07-02	1
INF-071	PRUEBA DE PRESION DE RED (71)	INSTALACIONES SANITARIAS — Instalaciones (MEP)	ESTACIONAMIENTO	Instalaciones (MEP)	2026-07-04	2
INF-072	ENTREGA DE AREA LIMPIA (72)	PISOS Y PAVIMENTOS — Arquitectura y terminaciones	PERIMETRO	Arquitectura y terminaciones	2026-07-06	3
INF-073	CARTEL DE OBRA DE 3.60 X 2.40M. (73)	CERRAMIENTOS — Arquitectura y terminaciones	ZONA GENERAL	Arquitectura y terminaciones	2026-07-08	4
INF-074	ALQUILER DE LOCAL PARA ALMACEN Y OFICINA (74)	PINTURA Y ACABADOS — Arquitectura y terminaciones	CANCHA PRINCIPAL	Arquitectura y terminaciones	2026-04-27	5
INF-075	SERVICIOS DE BAÑO PORTATIL (INODORO Y LAVADERO) (75)	AREA DE JUEGOS — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-04-29	6
INF-076	ELABORACION E IMPLEMENTACION DEL PLAN DE SEGURIDAD (76)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Estructura	ZONA SUR	Estructura	2026-05-01	7
INF-077	DEMOLICION DE MURO EXISTENTE (77)	OBRAS PROVISIONALES — Estructura	ACCESOS	Estructura	2026-05-04	1
INF-078	REPOSICION DE CERCO PERIMETRAL (78)	SEGURIDAD Y SALUD DURANTE LA OBRA — Estructura	VESTUARIOS	Estructura	2026-05-06	2
INF-079	LIMPIEZA DEL TERRENO MANUAL (79)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	ESTACIONAMIENTO	Estructura	2026-05-08	3
INF-080	RELLENO CON GRAVA CLASIFICADO (80)	EXPLANACION GENERAL	PERIMETRO	Estructura	2026-05-10	4
INF-081	COMPACTACION DE SUBRASANTE (81)	MOVIMIENTO DE TIERRA	ZONA GENERAL	Estructura	2026-05-12	5
INF-082	NIVELACION DE TERRENO (82)	SERVICIOS HIGIENICOS — Estructura	CANCHA PRINCIPAL	Estructura	2026-05-14	6
INF-083	EXCAVACION PARA CIMIENTOS (83)	ESTRUCTURAS METALICAS	ZONA NORTE	Estructura	2026-05-16	7
INF-084	HORMIGON DE LIMPIEZA (84)	CUBIERTA Y TECHUMBRE	ZONA SUR	Estructura	2026-05-18	1
INF-085	MONTAJE DE ESTRUCTURA METALICA (85)	INSTALACIONES ELECTRICAS — Estructura	ACCESOS	Estructura	2026-05-20	2
INF-086	COLOCACION DE CUBIERTA (86)	INSTALACIONES SANITARIAS — Estructura	VESTUARIOS	Estructura	2026-05-22	3
INF-087	TENDIDO DE RED ELECTRICA (87)	PISOS Y PAVIMENTOS — Instalaciones (MEP)	ESTACIONAMIENTO	Instalaciones (MEP)	2026-05-24	4
INF-088	INSTALACION DE TABLERO GENERAL (88)	CERRAMIENTOS — Instalaciones (MEP)	PERIMETRO	Instalaciones (MEP)	2026-05-27	5
INF-089	TENDIDO DE AGUA POTABLE (89)	PINTURA Y ACABADOS — Instalaciones (MEP)	ZONA GENERAL	Instalaciones (MEP)	2026-05-29	6
INF-090	INSTALACION DE DESAGUE (90)	AREA DE JUEGOS — Instalaciones (MEP)	CANCHA PRINCIPAL	Instalaciones (MEP)	2026-05-31	7
INF-091	CONTRAPISO DE CEMENTO PULIDO (91)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-06-02	1
INF-092	PINTURA DE CERRAMIENTO (92)	OBRAS PROVISIONALES — Arquitectura y terminaciones	ZONA SUR	Arquitectura y terminaciones	2026-06-04	2
INF-093	INSTALACION DE PUERTAS (93)	SEGURIDAD Y SALUD DURANTE LA OBRA — Arquitectura y terminaciones	ACCESOS	Arquitectura y terminaciones	2026-06-06	3
INF-094	SEÑALETICA DE SEGURIDAD (94)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	VESTUARIOS	Estructura	2026-06-08	4
INF-095	PRUEBA DE PRESION DE RED (95)	EXPLANACION GENERAL	ESTACIONAMIENTO	Estructura	2026-06-10	5
INF-096	ENTREGA DE AREA LIMPIA (96)	MOVIMIENTO DE TIERRA	PERIMETRO	Estructura	2026-06-12	6
INF-097	CARTEL DE OBRA DE 3.60 X 2.40M. (97)	SERVICIOS HIGIENICOS — Arquitectura y terminaciones	ZONA GENERAL	Arquitectura y terminaciones	2026-06-14	7
INF-098	ALQUILER DE LOCAL PARA ALMACEN Y OFICINA (98)	ESTRUCTURAS METALICAS	CANCHA PRINCIPAL	Estructura	2026-06-16	1
INF-099	SERVICIOS DE BAÑO PORTATIL (INODORO Y LAVADERO) (99)	CUBIERTA Y TECHUMBRE	ZONA NORTE	Estructura	2026-06-19	2
INF-100	ELABORACION E IMPLEMENTACION DEL PLAN DE SEGURIDAD (100)	INSTALACIONES ELECTRICAS — Estructura	ZONA SUR	Estructura	2026-06-21	3
INF-101	DEMOLICION DE MURO EXISTENTE (101)	INSTALACIONES SANITARIAS — Estructura	ACCESOS	Estructura	2026-06-23	4
INF-102	REPOSICION DE CERCO PERIMETRAL (102)	PISOS Y PAVIMENTOS — Estructura	VESTUARIOS	Estructura	2026-06-25	5
INF-103	LIMPIEZA DEL TERRENO MANUAL (103)	CERRAMIENTOS — Estructura	ESTACIONAMIENTO	Estructura	2026-06-27	6
INF-104	RELLENO CON GRAVA CLASIFICADO (104)	PINTURA Y ACABADOS — Estructura	PERIMETRO	Estructura	2026-06-29	7
INF-105	COMPACTACION DE SUBRASANTE (105)	AREA DE JUEGOS — Estructura	ZONA GENERAL	Estructura	2026-07-01	1
